symbol,name
RELIANCE.NS,Reliance Industries Limited
TCS.NS,Tata Consultancy Services Limited
HDFCBANK.NS,HDFC Bank Limited
ICICIBANK.NS,ICICI Bank Limited
BHARTIARTL.NS,Bharti Airtel Limited
SBIN.NS,State Bank of India
INFY.NS,Infosys Limited
LICI.NS,Life Insurance Corporation Of India
ITC.NS,ITC Limited
HINDUNILVR.NS,Hindustan Unilever Limited
LT.NS,Larsen & Toubro Limited
BAJFINANCE.NS,Bajaj Finance Limited
HCLTECH.NS,HCL Technologies Limited
MARUTI.NS,Maruti Suzuki India Limited
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
ADANIENT.NS,Adani Enterprises Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
TITAN.NS,Titan Company Limited
ONGC.NS,Oil & Natural Gas Corporation Limited
TATAMOTORS.NS,Tata Motors Limited
NTPC.NS,NTPC Limited
AXISBANK.NS,Axis Bank Limited
DMART.NS,Avenue Supermarts Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ULTRACEMCO.NS,UltraTech Cement Limited
ASIANPAINT.NS,Asian Paints Limited
COALINDIA.NS,Coal India Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
POWERGRID.NS,Power Grid Corporation of India Limited
NESTLEIND.NS,Nestle India Limited
WIPRO.NS,Wipro Limited
M&M.NS,Mahindra & Mahindra Limited
IOC.NS,Indian Oil Corporation Limited
JIOFIN.NS,Jio Financial Services Limited
HAL.NS,Hindustan Aeronautics Limited
DLF.NS,DLF Limited
ADANIPOWER.NS,Adani Power Limited
JSWSTEEL.NS,JSW Steel Limited
TATASTEEL.NS,Tata Steel Limited
SIEMENS.NS,Siemens Limited
IRFC.NS,Indian Railway Finance Corporation Limited
VBL.NS,Varun Beverages Limited
ZOMATO.NS,Zomato Limited
PIDILITIND.NS,Pidilite Industries Limited
GRASIM.NS,Grasim Industries Limited
SBILIFE.NS,SBI Life Insurance Company Limited
BEL.NS,Bharat Electronics Limited
LTIM.NS,LTIMindtree Limited
TRENT.NS,Trent Limited
PNB.NS,Punjab National Bank
INDIGO.NS,InterGlobe Aviation Limited
BANKBARODA.NS,Bank of Baroda
HDFCLIFE.NS,HDFC Life Insurance Company Limited
ABB.NS,ABB India Limited
BPCL.NS,Bharat Petroleum Corporation Limited
PFC.NS,Power Finance Corporation Limited
GODREJCP.NS,Godrej Consumer Products Limited
TATAPOWER.NS,Tata Power Company Limited
HINDALCO.NS,Hindalco Industries Limited
HINDZINC.NS,Hindustan Zinc Limited
TECHM.NS,Tech Mahindra Limited
AMBUJACEM.NS,Ambuja Cements Limited
INDUSINDBK.NS,IndusInd Bank Limited
CIPLA.NS,Cipla Limited
GAIL.NS,GAIL (India) Limited
RECLTD.NS,REC Limited
BRITANNIA.NS,Britannia Industries Limited
UNIONBANK.NS,Union Bank of India
ADANIENSOL.NS,Adani Energy Solutions Limited
IOB.NS,Indian Overseas Bank
LODHA.NS,Macrotech Developers Limited
EICHERMOT.NS,Eicher Motors Limited
CANBK.NS,Canara Bank
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED
DRREDDY.NS,Dr. Reddy's Laboratories Limited
TVSMOTOR.NS,TVS Motor Company Limited
ZYDUSLIFE.NS,Zydus Lifesciences Limited
ATGL.NS,Adani Total Gas Limited
VEDL.NS,Vedanta Limited
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
HAVELLS.NS,Havells India Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
DABUR.NS,Dabur India Limited
SHREECEM.NS,SHREE CEMENT LIMITED
MANKIND.NS,Mankind Pharma Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
DIVISLAB.NS,Divi's Laboratories Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
NHPC.NS,NHPC Limited
SHRIRAMFIN.NS,Shriram Finance Limited
BOSCHLTD.NS,Bosch Limited
TORNTPHARM.NS,Torrent Pharmaceuticals Limited
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
IDBI.NS,IDBI Bank Limited
JSWENERGY.NS,JSW Energy Limited
JINDALSTEL.NS,Jindal Steel & Power Limited
BHEL.NS,Bharat Heavy Electricals Limited
INDHOTEL.NS,The Indian Hotels Company Limited
CUMMINSIND.NS,Cummins India Limited
ICICIGI.NS,ICICI Lombard General Insurance Company Limited
CGPOWER.NS,CG Power and Industrial Solutions Limited
MCDOWELL-N.NS,United Spirits Limited
HDFCAMC.NS,HDFC Asset Management Company Limited
